PName,POS,GP,MPG,PTS,AST,REB,FG%,3P%,TOV,STL,BLK,+/-
Mason Plumlee,C,79,25.98607594936709,10.848101265822784,3.1012658227848102,8.860759493670885,68.0,0.0,1.481012658227848,0.5822784810126582,0.5949367088607594,-269
Eric Gordon,SG,69,28.485507246376812,12.405797101449275,2.652173913043478,1.9420289855072463,44.6,37.1,1.5072463768115942,0.6231884057971014,0.36231884057971014,-210
Kelly Olynyk,PF,68,28.552941176470586,12.455882352941176,3.7058823529411766,6.176470588235294,49.9,39.4,2.4705882352941178,0.8823529411764706,0.5441176470588235,14
LaMelo Ball,PG,36,35.21666666666667,23.27777777777778,8.444444444444445,6.416666666666667,41.1,37.6,3.5833333333333335,1.2777777777777777,0.3055555555555556,-150
Markelle Fultz,PG,60,29.631666666666668,13.95,5.683333333333334,3.9,51.4,31.0,2.316666666666667,1.45,0.43333333333333335,-130
Austin Reaves,SG,64,28.8,13.015625,3.359375,3.015625,52.9,39.8,1.546875,0.515625,0.296875,214
Patrick Williams,PF,82,28.326829268292684,10.158536585365853,1.2195121951219512,3.9878048780487805,46.4,41.5,1.2317073170731707,0.8780487804878049,0.8536585365853658,-142
Dennis Schroder,PG,66,30.08939393939394,12.575757575757576,4.515151515151516,2.5,41.5,32.9,1.696969696969697,0.7575757575757576,0.15151515151515152,125
Kentavious Caldwell-Pope,SG,76,31.331578947368417,10.81578947368421,2.4078947368421053,2.736842105263158,46.2,42.3,1.131578947368421,1.4736842105263157,0.4605263157894737,493
Tyus Jones,PG,80,24.2425,10.275,5.2125,2.5,43.8,37.1,0.925,1.0375,0.075,95
Corey Kispert,SF,74,28.28783783783784,11.08108108108108,1.1756756756756757,2.7972972972972974,49.7,42.4,0.7432432432432432,0.43243243243243246,0.12162162162162163,-124
Chris Paul,PG,59,32.010169491525424,13.88135593220339,8.88135593220339,4.254237288135593,44.0,37.5,1.9322033898305084,1.5423728813559323,0.3728813559322034,84
Ivica Zubac,C,76,28.544736842105266,10.763157894736842,1.013157894736842,9.947368421052632,63.4,0.0,1.5394736842105263,0.3815789473684211,1.2894736842105263,-33
